,sna,tot,sbi,sarea,mday,ar,bemp,act
376,YouBike2.0_樟腳里公園,15,2,文山區,2023-06-04 09:18:14,木新路二段299巷15號(旁),13,1
380,YouBike2.0_木柵社會住宅,12,3,文山區,2023-06-04 09:13:14,久康街24巷46號對側,9,1
381,YouBike2.0_秀明路一段185巷口,20,1,文山區,2023-06-04 08:53:14,秀明路一段與秀明路一段185巷口,19,1
382,YouBike2.0_秀明路一段129巷口,22,2,文山區,2023-06-04 07:53:14,秀明路一段129巷與秀明路一段路口,20,1
387,YouBike2.0_辛亥生態公園,18,1,文山區,2023-06-04 08:35:04,辛亥路四段199號,17,1
388,YouBike2.0_博嘉運動公園,12,0,文山區,2023-06-03 16:30:28,木柵路四段159巷16號,12,1
395,YouBike2.0_明道國小東南側,18,1,文山區,2023-06-04 09:00:55,興隆路四段109巷116號對側,17,1
398,YouBike2.0_師範大學公館校區_1,25,3,文山區,2023-06-04 09:18:14,師大公館校區校門口(汀州路側),22,1
402,YouBike2.0_辛亥路五段73巷口,13,0,文山區,2023-06-04 06:46:04,辛亥路五段75-1號前人行道,13,1
405,YouBike2.0_景興國中,10,0,文山區,2023-06-04 09:17:15,三福街4巷與景興路46巷口,10,1
409,YouBike2.0_萬興國小,16,3,文山區,2023-06-04 09:13:14,秀明路二段114號公車亭旁,13,1
410,YouBike2.0_辛亥路四段77巷口,14,0,文山區,2023-06-04 08:17:14,辛亥路四段77巷口,14,1
415,YouBike2.0_萬美萬安街口,16,1,文山區,2023-06-04 09:14:04,萬美街一段/萬安街口,15,1
417,YouBike2.0_新光秀明路口,15,3,文山區,2023-06-04 09:02:15,新光路一段145號前,12,1
418,YouBike2.0_臺北自來水事業處,20,0,中正區,2023-06-04 09:17:25,思源街1號東側,20,1
427,YouBike2.0_紀州庵,25,0,中正區,2023-06-04 08:51:04,水源路/同安街口(東側),25,1
428,YouBike2.0_捷運臺電大樓站(5號出口),14,1,中正區,2023-06-04 09:10:20,羅斯福路三段126號前,13,1
432,YouBike2.0_捷運古亭站(8號出口),15,3,中正區,2023-06-04 09:15:15,和平西路一段13-1號前方,12,1
436,YouBike2.0_孫立人將軍官邸,23,3,中正區,2023-06-04 09:18:14,南昌路一段136號前,20,1
439,YouBike2.0_捷運中正紀念堂站(3號出口),18,0,中正區,2023-06-04 08:55:13,金華街17號前方,18,1
440,YouBike2.0_捷運中正紀念堂站(4號出口),21,3,中正區,2023-06-04 09:14:14,羅斯福路一段5號前方,18,1
445,YouBike2.0_中華路二段409巷口,15,2,中正區,2023-06-04 08:37:14,中華路二段403號前,10,1
453,YouBike2.0_中華貴陽街口,20,2,中正區,2023-06-04 09:10:20,貴陽街一段243之1號(前),18,1
454,YouBike2.0_華山文創園區,39,1,中正區,2023-06-04 09:15:15,忠孝東路二段41號,38,1
455,YouBike2.0_捷運善導寺站(1號出口),33,1,中正區,2023-06-04 09:07:04,忠孝東路一段7號,32,1
456,YouBike2.0_濟南紹興路口,39,1,中正區,2023-06-04 08:53:04,濟南紹興路口東南側,38,1
464,YouBike2.0_寶慶博愛路口,27,1,中正區,2023-06-04 08:59:04,博愛路162號,26,1
468,YouBike2.0_市民金山路口,30,3,中正區,2023-06-04 08:56:14,金山市民大道口南側,27,1
470,YouBike2.0_中山堂,29,3,中正區,2023-06-04 09:02:15,武昌街一段與延平南路口,26,1
471,YouBike2.0_中華漢口街口,19,3,中正區,2023-06-04 09:18:14,中華路一段與漢口街一段路口,16,1
472,YouBike2.0_中華路一段21巷口,22,0,中正區,2023-06-04 09:12:04,中華路一段11號(斜前方),22,1
475,YouBike2.0_師大水源路口,21,1,中正區,2023-06-04 09:03:14,師大路/水源路口(東南側),20,1
481,YouBike2.0_光華商場,28,0,中正區,2023-06-04 09:06:04,新生北路一段/市民大道三段口(西側),28,1
485,YouBike2.0_王貫英先生紀念圖書館,15,3,中正區,2023-06-04 09:17:25,汀州路二段265號,12,1
486,YouBike2.0_金山信義路口,25,0,中正區,2023-06-04 09:02:04,金山南路一段148號前側,25,1
497,YouBike2.0_羅斯福寧波東街口,20,2,中正區,2023-06-04 09:17:25,羅斯福路一段/寧波東街(東南側),18,1
498,YouBike2.0_自來水園區,30,0,中正區,2023-06-04 08:59:04,中正區思源街16號對面人行道,30,1
501,YouBike2.0_仁愛金山路口,9,0,中正區,2023-06-04 06:37:03,仁愛路二段31號前,9,1
502,YouBike2.0_杭州南路一段101巷口,14,0,中正區,2023-06-04 09:17:25,金山南路一段72號前,14,1
503,YouBike2.0_仁愛杭州路口,15,0,中正區,2023-06-04 08:28:04,仁愛路一段59號旁,15,1
507,YouBike2.0_林森北平路口,20,3,中正區,2023-06-04 08:22:17,林森北路與北平東路口西北側,17,1
508,YouBike2.0_北平紹興路口,15,3,中正區,2023-06-04 09:12:14,北平東路30號對側人行道,12,1
